step;status;x_1;x_2;res

0;success;1.3073123344051503;-1.8626263811503385;-0.5553140467451883
1;success;1.3073123493063115;-1.8626263811503385;-0.5553140318440271
2;success;1.3073123344051503;-1.8626263662491773;-0.5553140318440271
3;success;0.30731233440515027;-2.8626263811503385;-2.5553140467451883
4;success;0.30731234930631146;-2.8626263811503385;-2.555314031844027

5;success;0.30731233440515027;-2.8626263662491773;-2.555314031844027

6;success;-4.692687665594855;-7.862626381150344;-12.555314046745199
7;success;-4.692687650693694;-7.862626381150344;-12.555314031844038
8;success;-4.692687665594855;-7.862626366249183;-12.555314031844038
9;success;-29.69268766559491;-32.8626263811504;-62.55531404674531

10;success;-29.69268765069375;-32.8626263811504;-62.55531403184415

11;success;-29.69268766559491;-32.86262636624924;-62.55531403184415

12;success;-154.69268766559512;-157.8626263811506;-312.5553140467457

13;success;-154.69268765069395;-157.8626263811506;-312.55531403184455
14;success;-154.69268766559512;-157.86262636624943;-312.55531403184455
15;success;-779.6926876655964;-782.8626263811518;-1562.5553140467482
16;success;-779.6926876506952;-782.8626263811518;-1562.555314031847

17;success;-779.6926876655964;-782.8626263662507;-1562.555314031847

18;success;-3904.6926876656034;-3907.8626263811584;-7812.555314046762

19;success;-3904.6926876507023;-3907.8626263811584;-7812.555314031861

